Delay -5C 15C 35C 55C
-4104.83038 -4.3e-05 -9e-06 -0.000152 -0.000197
-4103.82969 -6.4e-05 0.000104 0.000232 7.6e-05
-4102.829 -0.000219 5.6e-05 -1.5e-05 -0.000187
-4101.82831 9.5e-05 -1.3e-05 -9.3e-05 5.3e-05
-4100.82762 -1.8e-05 0.000133 0.00022 4.2e-05
-4099.82693 0.000103 9.3e-05 -8.2e-05 -8.3e-05
-4098.82624 -0.000106 0.000125 2.4e-05 -4e-06
-4097.82555 1.5e-05 8.2e-05 6.1e-05 -3.7e-05
-4096.82486 -6.6e-05 6e-06 -0.000137 5.6e-05
-4095.82417 -0.000153 3.8e-05 3.5e-05 4.5e-05
-4094.82348 8e-05 0.000151 -4e-06 -5e-06
-4093.82279 -8.9e-05 2.4e-05 -4.9e-05 5.8e-05
-4092.8221 -0.000199 8.2e-05 0.000127 0
-4091.82141 -0.000101 -9.7e-05 -0.000106 -3.5e-05
-4090.82072 -4.8e-05 -0.000106 -9.2e-05 0.00018
-4089.82003 -5.6e-05 -9.6e-05 7.8e-05 -1e-05
-4088.81934 -2.4e-05 -5.2e-05 6.5e-05 -0.000126
-4087.81865 4.7e-05 5.1e-05 0.000259 7.4e-05
-4086.81796 -0.000116 0.000106 3.9e-05 -5.1e-05
-4085.81727 0.000104 1e-05 8.7e-05 -1e-06
-4084.81658 4e-05 0.000178 2e-06 1.1e-05
-4083.81589 -7e-06 0.000153 -3.5e-05 -0.000113
-4082.8152 0.000186 -6.4e-05 -3.2e-05 5e-06
-4081.81451 -3.4e-05 2.2e-05 1e-06 -3.1e-05
-4080.81382 -2.3e-05 0.000252 -8.9e-05 -0.000164
-4079.81313 -0.000132 4.6e-05 0.000102 8.4e-05
-4078.81244 -9.3e-05 9.1e-05 -1e-05 -6.2e-05
-4077.81175 2.6e-05 9.8e-05 -0.00014 -2.3e-05
-4076.81106 0.000187 0.000115 0.000134 6.8e-05
-4075.81037 3.9e-05 6.3e-05 0.000155 -9e-06
-4074.80968 -0.000121 0 0.000213 -9.7e-05
-4073.80899 5.5e-05 -8.6e-05 -3.3e-05 -1.2e-05
-4072.8083 8e-06 -4.9e-05 9e-06 2.7e-05
-4071.80761 5.1e-05 9.7e-05 -1.2e-05 -5.1e-05
-4070.80692 0.000126 7e-06 0.000102 -6.1e-05
-4069.80623 -8e-06 7.7e-05 -0.000103 1e-05
-4068.80554 0.00014 -3.2e-05 -8.3e-05 -4.8e-05
-4067.80485 9.5e-05 4e-05 3.5e-05 -4.4e-05
-4066.80416 -1.5e-05 6.8e-05 -2.4e-05 5.3e-05
-4065.80347 1.8e-05 0.000127 -8e-06 -0.000152
-4064.80278 -0.000141 3.3e-05 -8e-05 -3e-06
-4063.80209 -5.4e-05 -7e-05 -8e-06 0.000103
-4062.8014 -0.000229 0.000104 6e-06 7.4e-05
-4061.80071 -1.5e-05 4.5e-05 -0.000163 4.5e-05
-4060.80002 9.7e-05 8.2e-05 1.6e-05 -1.6e-05
-4059.79933 -0.000119 -2e-06 0.000121 5.5e-05
-4058.79864 -7.7e-05 4.4e-05 2e-05 8.6e-05
-4057.79795 2e-06 -1.5e-05 9e-05 7e-06
-4056.79726 3.7e-05 -0.000223 0.000107 2.5e-05
-4055.79657 -0.000111 9.9e-05 0.000138 6.6e-05
-4054.79588 -4e-05 6e-06 -1.2e-05 0.000131
-4053.79519 -6.1e-05 -1.5e-05 0.000219 8.3e-05
-4052.7945 8.7e-05 7.1e-05 0.000171 -2e-06
-4051.79381 -8.8e-05 2.3e-05 0.000114 5e-06
-4050.79312 4.5e-05 2e-05 4e-05 -0.000195
-4049.79243 -6.8e-05 -1.4e-05 0.000137 0.000183
-4048.79174 -0.000175 4e-05 4.9e-05 7.1e-05
-4047.79105 -0.000107 4.2e-05 0.000121 -6e-05
-4046.79036 5.9e-05 -1.7e-05 1.8e-05 -7.6e-05
-4045.78967 0.000119 4.9e-05 8.9e-05 -4e-05
-4044.78898 -4.7e-05 -5.7e-05 -1.2e-05 5.2e-05
-4043.78829 -0.000131 6.8e-05 0.000145 0.000124
-4042.7876 -4.2e-05 -2e-06 4e-06 -2.4e-05
-4041.78691 -8.5e-05 -0.000156 -6.1e-05 9.9e-05
-4040.78622 -0.000148 -1.2e-05 9e-05 3.1e-05
-4039.78553 -0.000191 -9.7e-05 -2.2e-05 3.8e-05
-4038.78484 -7.6e-05 0 0 0.000176
-4037.78415 9.4e-05 8.8e-05 2.9e-05 -5.5e-05
-4036.78346 -0.000134 -9.6e-05 7.8e-05 -1.4e-05
-4035.78277 -0.000127 -6.1e-05 3.2e-05 -9.2e-05
-4034.78208 9.5e-05 3.6e-05 0.000111 3.6e-05
-4033.78139 0.000152 0 9.5e-05 7.1e-05
-4032.7807 -2e-06 5.5e-05 6.8e-05 -1.1e-05
-4031.78001 5.3e-05 -5.6e-05 0.000122 5.7e-05
-4030.77932 1e-06 -3e-06 2.9e-05 0.000168
-4029.77863 0.000146 0.000218 8.2e-05 7.3e-05
-4028.77794 -0.000126 0.000126 -6e-05 4.9e-05
-4027.77725 -8.4e-05 8.8e-05 9.8e-05 4e-05
-4026.77656 2e-05 4.6e-05 4.6e-05 3.1e-05
-4025.77587 -8e-06 7.8e-05 0.000164 0.00015
-4024.77518 -1.5e-05 8e-06 9e-05 0
-4023.77449 5e-05 0.000153 0.000138 -1.8e-05
-4022.7738 -2e-06 9.5e-05 4.2e-05 6.6e-05
-4021.77311 6.3e-05 5.3e-05 0.000132 -4.7e-05
-4020.77242 -7.5e-05 0.000124 0.000113 5.6e-05
-4019.77173 0.000158 -0.000138 9e-05 9.9e-05
-4018.77104 4.8e-05 0.000186 7e-05 5e-05
-4017.77035 -3.2e-05 7.6e-05 -7.1e-05 8.7e-05
-4016.76966 0.000189 0.00015 -9e-06 7e-05
