Delay -5C 15C 35C 55C 70C
-4257.93595 -4e-05 5e-05 -7.3e-05 0 -1e-05
-4256.93526 2.7e-05 -5.8e-05 -7.4e-05 -1.7e-05 3.2e-05
-4255.93457 -8e-05 -5.2e-05 0.000102 -1.1e-05 -0.000186
-4254.93388 -1e-06 -2.1e-05 7.2e-05 -0.000107 -3.3e-05
-4253.93319 0.000176 6.1e-05 -1.6e-05 7e-05 -8.6e-05
-4252.9325 2.2e-05 -7.9e-05 -0.000116 -8.2e-05 0
-4251.93181 -4e-06 6.1e-05 -7e-06 1.9e-05 3.5e-05
-4250.93112 -0.000143 -5.4e-05 -4.5e-05 1.2e-05 -4.2e-05
-4249.93043 -3.8e-05 -2e-05 3e-05 4.3e-05 -2.6e-05
-4248.92974 6e-06 -8e-05 -4.1e-05 5.8e-05 9e-06
-4247.92905 2e-06 -0.000131 -4e-05 -6.6e-05 -1.9e-05
-4246.92836 0.0002 9.1e-05 1.2e-05 -1.6e-05 1.7e-05
-4245.92767 -4.7e-05 -5.2e-05 -7e-06 -7e-06 -8.6e-05
-4244.92698 -0.000155 0.000101 -2.9e-05 -0.000116 -3.7e-05
-4243.92629 7.7e-05 1.6e-05 3.3e-05 -3.4e-05 -3.7e-05
-4242.9256 0.000111 3.3e-05 -5.9e-05 6e-05 -3.1e-05
-4241.92491 0.000172 7.5e-05 -0.000187 4.8e-05 1.8e-05
-4240.92422 1.6e-05 -2.5e-05 -1.1e-05 4.8e-05 -0.000124
-4239.92353 -0.000103 -4.6e-05 -3e-05 3e-05 -0.000114
-4238.92284 2.4e-05 3e-06 2.3e-05 -4.2e-05 -0.000115
-4237.92215 -5.7e-05 -5.3e-05 -2e-05 8.2e-05 -4.5e-05
-4236.92146 -9.2e-05 1.2e-05 -2.1e-05 5.2e-05 -9.6e-05
-4235.92077 5.8e-05 -4.4e-05 1.5e-05 2.9e-05 -1.9e-05
-4234.92008 6.7e-05 -9e-05 4.5e-05 -2.9e-05 -7.8e-05
-4233.91939 -0.000218 1.2e-05 -0.000121 -4.5e-05 2.7e-05
-4232.9187 -3.7e-05 3.8e-05 7.9e-05 -8.8e-05 1.3e-05
-4231.91801 -0.000177 -3.4e-05 8.5e-05 -2e-06 -7.6e-05
-4230.91732 -9.6e-05 -7.8e-05 4.5e-05 2.1e-05 8e-05
-4229.91663 -8.7e-05 -2.7e-05 -2.5e-05 0.000125 1.4e-05
-4228.91594 -5.6e-05 1.6e-05 0.000104 -5.8e-05 1.2e-05
-4227.91525 -3.9e-05 -5.3e-05 -4e-05 -7e-05 -1.8e-05
-4226.91456 3.7e-05 9.2e-05 -4e-05 -7.3e-05 -3.2e-05
-4225.91387 -5.6e-05 1.4e-05 -0.000145 -9.1e-05 -2.6e-05
-4224.91318 -4.2e-05 -4.1e-05 1.4e-05 -3.8e-05 -5.2e-05
-4223.91249 0 -5e-05 1.1e-05 -6.3e-05 2.4e-05
-4222.9118 1e-05 7e-06 2.6e-05 0.000138 -9.9e-05
-4221.91111 0.000127 6.1e-05 -6.5e-05 -1.3e-05 1.4e-05
-4220.91042 2.9e-05 -2.6e-05 1.9e-05 6.7e-05 1.1e-05
-4219.90973 0.000124 7.2e-05 -3.2e-05 5.5e-05 -4.2e-05
-4218.90904 8.5e-05 1e-06 2e-05 2.6e-05 0
-4217.90835 -8.5e-05 -4.3e-05 -4.7e-05 -6.2e-05 2.9e-05
-4216.90766 0.00013 -5.6e-05 -3.8e-05 7e-06 -2.9e-05
-4215.90697 8.3e-05 -6.5e-05 7e-06 1.5e-05 3e-05
-4214.90628 -3.8e-05 -9.9e-05 -1.3e-05 -7e-06 2.7e-05
-4213.90559 9.3e-05 -9.9e-05 -5e-05 -5.5e-05 -4e-05
-4212.9049 -3.2e-05 4.6e-05 -0.000136 4.3e-05 -8.7e-05
-4211.90421 0.000107 5.3e-05 -4.1e-05 3e-06 -0.000123
-4210.90352 -6.7e-05 -4.8e-05 -1.8e-05 -6.3e-05 4e-05
-4209.90283 -1e-05 -1.8e-05 -0.00011 -5.3e-05 -4.5e-05
-4208.90214 1.1e-05 -2.2e-05 -3.9e-05 2.5e-05 -2.3e-05
-4207.90145 -7.3e-05 -1e-06 3e-06 4e-06 -6.9e-05
-4206.90076 0.000104 1.6e-05 2e-06 1.7e-05 -9.2e-05
-4205.90007 0.000152 0.00011 -5.5e-05 2.3e-05 -0.000123
-4204.89938 -3.3e-05 -0.000106 1.4e-05 -2e-06 -4.5e-05
-4203.89869 4e-06 7e-05 -7.2e-05 8.1e-05 -1.1e-05
-4202.898 -4.2e-05 -7.3e-05 -7.3e-05 8e-06 1.4e-05
-4201.89731 4.5e-05 -0.000166 2.9e-05 7.4e-05 1.2e-05
-4200.89662 -7e-06 3.3e-05 -7e-06 -0.000185 -7.7e-05
-4199.89593 -0.000104 -3.6e-05 1.5e-05 -6.8e-05 -0.000115
-4198.89524 7.2e-05 -3.6e-05 3.8e-05 3e-05 2.4e-05
-4197.89455 -3.1e-05 -9.8e-05 -0.000155 9.9e-05 -2.2e-05
-4196.89386 0.000127 -8.4e-05 1.4e-05 0.000112 0.000111
-4195.89317 0.000142 -9.5e-05 -6.1e-05 -0.00013 -7e-05
-4194.89248 8e-05 4.5e-05 -0.000142 -4.3e-05 -1.3e-05
-4193.89179 -2.3e-05 2.8e-05 -0.000116 1.7e-05 -0.000102
-4192.8911 -4.7e-05 -8.9e-05 8e-06 -3.8e-05 -8.3e-05
-4191.89041 -0.000143 -7.3e-05 2.9e-05 8.9e-05 4.7e-05
-4190.88972 -7.1e-05 3e-06 4.7e-05 -9e-05 -4.5e-05
-4189.88903 7.9e-05 5e-06 -4.5e-05 -3.3e-05 -5e-05
-4188.88834 -8.7e-05 6.8e-05 -1.2e-05 4.5e-05 1.8e-05
-4187.88765 2.7e-05 -6.8e-05 -4.2e-05 3e-06 5.4e-05
-4186.88696 -6.7e-05 -5.1e-05 -5.5e-05 2.1e-05 7e-06
-4185.88627 0.000132 -1.5e-05 2.8e-05 8e-06 7e-05
-4184.88558 -7e-06 -2.9e-05 -2e-06 -1.9e-05 5.4e-05
-4183.88489 -7.8e-05 -0.000141 -2.6e-05 2.3e-05 -0.000107
-4182.8842 8.3e-05 5.7e-05 4.2e-05 1e-05 -7.6e-05
-4181.88351 -0.000145 -3.1e-05 -2.1e-05 8.1e-05 -1.9e-05
-4180.88282 5.3e-05 -6.5e-05 -8.4e-05 4.1e-05 -0.000111
-4179.88213 9e-06 3e-05 -1.9e-05 -8e-06 -0.00011
-4178.88144 -8.3e-05 -6e-06 -6.2e-05 8.4e-05 -0.000153
-4177.88075 2.8e-05 -3.4e-05 -2.6e-05 -6.9e-05 -8.4e-05
-4176.88006 5.4e-05 -8.4e-05 -7e-05 -6.4e-05 1.2e-05
-4175.87937 -2.1e-05 -0.000157 7.7e-05 -2.2e-05 1e-05
-4174.87868 -2.7e-05 3.7e-05 -5.3e-05 -7.1e-05 -0.000157
-4173.87799 -2.6e-05 8e-06 -5.2e-05 -3.9e-05 -0.000123
-4172.8773 7.1e-05 -0.000198 -5.7e-05 -2.2e-05 -1.2e-05
-4171.87661 -4.6e-05 5.8e-05 2.4e-05 -5e-05 -2.9e-05
-4170.87592 -0.000172 4.3e-05 -3.7e-05 2.1e-05 8e-06
-4169.87523 -4.2e-05 -0.000125 -6.3e-05 -0.000123 -0.000134
-4168.87454 0.000197 -4.6e-05 -4e-06 1.8e-05 -2.5e-05
-4167.87385 0.00012 0.000127 -0.000109 -2.6e-05 -6.2e-05
-4166.87316 6.3e-05 -0.00012 -0.000106 5.1e-05 -5.8e-05
-4165.87247 6.2e-05 -8.3e-05 -1e-06 -2.9e-05 -5.1e-05
